Date,Close,High,Low,Open,Volume,High_Low,ATR
2014-01-02,3.950000047683716,3.9800000190734863,3.8399999141693115,3.8499999046325684,20548400,0.1400001049041748,
2014-01-03,4.0,4.0,3.880000114440918,3.9800000190734863,22887200,0.11999988555908203,
2014-01-06,4.130000114440918,4.179999828338623,3.990000009536743,4.010000228881836,42398300,0.18999981880187988,
2014-01-07,4.179999828338623,4.25,4.110000133514404,4.190000057220459,42932100,0.1399998664855957,
2014-01-08,4.179999828338623,4.260000228881836,4.139999866485596,4.230000019073486,30678700,0.12000036239624023,
2014-01-09,4.090000152587891,4.230000019073486,4.050000190734863,4.199999809265137,30667600,0.17999982833862305,
2014-01-10,4.170000076293945,4.199999809265137,4.070000171661377,4.090000152587891,20840800,0.12999963760375977,
2014-01-13,4.130000114440918,4.199999809265137,4.090000152587891,4.190000057220459,22856100,0.1099996566772461,
2014-01-14,4.300000190734863,4.300000190734863,4.130000114440918,4.139999866485596,42434800,0.1700000762939453,
2014-01-15,4.46999979019165,4.599999904632568,4.320000171661377,4.340000152587891,66613100,0.2799997329711914,
2014-01-16,4.380000114440918,4.510000228881836,4.320000171661377,4.5,46975600,0.19000005722045898,
2014-01-17,4.179999828338623,4.349999904632568,4.110000133514404,4.150000095367432,45842700,0.23999977111816406,
2014-01-21,4.170000076293945,4.340000152587891,4.130000114440918,4.309999942779541,58702900,0.21000003814697266,
2014-01-22,3.6700000762939453,3.819999933242798,3.6600000858306885,3.7899999618530273,86329500,0.15999984741210938,0.16999990599496023
2014-01-23,3.619999885559082,3.680000066757202,3.5799999237060547,3.6700000762939453,29844700,0.10000014305114746,0.16714276586260116
2014-01-24,3.4700000286102295,3.609999895095825,3.4100000858306885,3.5999999046325684,48095800,0.19999980926513672,0.17285704612731934
2014-01-27,3.4100000858306885,3.490000009536743,3.3499999046325684,3.4800000190734863,31332300,0.1400001049041748,0.16928563799176896
2014-01-28,3.5399999618530273,3.569999933242798,3.4100000858306885,3.430000066757202,27962600,0.15999984741210938,0.1707142080579485
2014-01-29,3.4800000190734863,3.559999942779541,3.450000047683716,3.5199999809265137,21765000,0.1099998950958252,0.16999988896506174
2014-01-30,3.4800000190734863,3.5199999809265137,3.450000047683716,3.509999990463257,17111700,0.06999993324279785,0.16214275360107422
2014-01-31,3.430000066757202,3.4700000286102295,3.430000066757202,3.450000047683716,13602100,0.039999961853027344,0.15571420533316477
2014-02-03,3.3299999237060547,3.440000057220459,3.3299999237060547,3.430000066757202,22280200,0.1100001335144043,0.15571423939296178
2014-02-04,3.369999885559082,3.430000066757202,3.299999952316284,3.3499999046325684,22681000,0.13000011444091797,0.15285709926060267
2014-02-05,3.309999942779541,3.369999885559082,3.2899999618530273,3.359999895095825,14858900,0.07999992370605469,0.1385713985988072
2014-02-06,3.4100000858306885,3.4600000381469727,3.319999933242798,3.319999933242798,16072900,0.1400001049041748,0.13499997343335832
2014-02-07,3.4700000286102295,3.5,3.4200000762939453,3.4600000381469727,23119700,0.07999992370605469,0.12357141290392194
2014-02-10,3.630000114440918,3.640000104904175,3.450000047683716,3.5,21241100,0.19000005722045898,0.12214284283774239
2014-02-11,3.700000047683716,3.75,3.6500000953674316,3.6600000858306885,34198100,0.09999990463256836,0.11785713263920375
