Date,Close,High,Low,Open,Volume,High_Low,ATR
2014-01-02,54.33048629760742,54.83695064668258,53.81409298344089,54.44965660811654,43195500,1.0228576632416946,
2014-01-03,54.1815299987793,55.263969047159264,54.15173552653556,54.63833816533787,38246200,1.112233520623704,
2014-01-06,56.80321502685547,56.862796393576275,53.67506447400874,54.04249679231693,68852600,3.1877319195675327,
2014-01-07,57.518218994140625,58.14384987376699,56.8230777814841,57.299747665120925,77207400,1.320772092282887,
2014-01-08,57.826072692871094,58.00482438123894,56.83300944115446,57.20044178358363,56682400,1.1718149400844808,
2014-01-09,56.82307434082031,58.55100209084754,56.2570286515112,58.24315494052151,92253300,2.293973439336341,
2014-01-10,57.53807830810547,57.89558165295065,56.66418545207871,56.73369957043913,42449500,1.2313962008719415,
2014-01-13,55.52215576171875,57.84592348321776,54.995833549986465,57.5082818898979,63010900,2.8500899332312954,
2014-01-14,57.33946990966797,57.37918955796815,55.71084310582759,56.068346458177054,37503600,1.668346452140554,
2014-01-15,57.200435638427734,58.16370810134201,56.87272677045021,57.577800694244964,33663400,1.2909813308918032,
2014-01-16,56.793277740478516,57.61752193785781,56.435778203982146,56.86279185492796,34541800,1.1817437338756633,
2014-01-17,55.90945816040039,57.41891469945459,55.68105407589183,56.90252137386482,40849200,1.73786062356276,
2014-01-21,58.104129791259766,58.17364770477478,56.10807430151626,56.20737911241935,48669200,2.0655734032585187,
2014-01-22,57.111053466796875,58.89856996009587,56.70389777404207,58.44175808501121,61352900,2.1946721860538005,1.737860531358784
2014-01-23,56.23716354370117,56.28681594028602,55.30368181967194,55.97896502028393,47951800,0.983134120614082,1.7350231354568117
2014-01-24,54.07228469848633,56.028616362403056,54.022632302835945,55.760492668244005,55200700,2.005984059567112,1.798862459667055
2014-01-27,53.178531646728516,54.55888883784862,51.49032351116476,54.35034648269422,73924100,3.06856532668386,1.7903505601753642
2014-01-28,54.75749969482422,54.89652792516165,53.625408346950664,53.645270063889605,48191200,1.2711195782109854,1.7868039520273713
2014-01-29,53.158668518066406,54.56882014266624,52.82102689991449,54.23117852451433,92995600,1.7477932427517473,1.8279452593607475
2014-01-30,60.65630340576172,62.066451362361505,60.04060148071749,61.68908627737239,150178900,2.025849881644014,1.8087935766684384
2014-01-31,62.13595962524414,62.93040937011656,59.752606602391694,60.05052857142465,87794600,3.177802767724863,1.9478226171579327
2014-02-03,61.05352783203125,63.32764357166256,60.2789397133694,62.59277510373123,74866600,3.048703858293166,1.9620093260909235
2014-02-04,62.3147087097168,62.70200270753209,61.39115973574107,61.61956379116458,45985500,1.3108429717910184,1.9364733632088138
2014-02-05,61.75859069824219,62.721863084301894,60.84497449606038,62.304778415019314,51685100,1.8768885882415134,1.978323881590936
2014-02-06,61.72880554199219,62.344503637174064,61.03366057608475,61.03366057608475,42086500,1.3108430610893151,1.9875452621061969
2014-02-07,63.87381362915039,64.12207938603864,61.78838278658301,61.838035180313696,60704300,2.333696599455628,2.0301049746699733
2014-02-10,63.109161376953125,64.04263935868843,63.02971829615459,63.853962515321314,43666100,1.0129210625338416,1.9549155217610676
2014-02-11,64.400146484375,64.54910747846563,62.91055169641041,63.30777848849514,45675600,1.6385557820552208,1.9151929214754548
2014-02-12,64.00291442871094,64.60868353211595,63.60569524576427,64.46965530279057,47282100,1.0029882863516804,1.9166110761709976
2014-02-13,66.86295318603516,66.86295318603516,63.6057068045383,63.73480230480888,61911700,3.2572463814968557,2.005986956308836
2014-02-14,66.6246109008789,67.11121735643644,66.25718234128126,67.03177047677748,36694900,0.8540350151551763,1.8478062197710732
2014-02-18,66.83314514160156,67.0714781480748,65.61167427754559,66.47564184365687,43809900,1.459803870529214,1.8612836692223753
2014-02-19,67.58787536621094,68.6008040190623,66.53523085477022,66.58488704271275,62087100,2.0655731642920756,1.8839822350466844
2014-02-20,69.14698791503906,69.62366158486944,65.27404749472771,67.26017389549084,130928900,4.349614090141728,2.0499653927965213
2014-02-21,68.11420440673828,69.47470378129404,67.97517615841537,69.2065800385202,70932400,1.4995276228786736,1.930088596736079
2014-02-24,70.28899383544922,70.94441901399485,68.06453496637151,68.26314452422045,76620300,2.879884047623335,1.9180300388310911
2014-02-25,69.3654556274414,70.50747970127725,68.9682288743937,70.45782351596998,52077000,1.5392508268835456,1.9343448856234144
2014-02-26,68.7795639038086,70.72596699540443,68.37240432816522,69.70311304396864,55322700,2.353562667239217,1.9683930341232505
2014-02-27,68.46177673339844,69.524354012448,68.39226261519784,68.8589959365615,41653700,1.1320913972501643,1.9556250581347396
2014-02-28,67.98509979248047,69.39524759429051,66.91258981231356,68.98809565781083,66783700,2.482657781976954,1.9662651426005486
