Date,Close,High,Low,Open,Volume,High_Low,ATR
2014-01-02,27.646963119506836,27.761959942649845,27.52625308563333,27.70508150341573,72783144,0.23570685701651684,
2014-01-03,27.44528579711914,27.741594735566185,27.443547981399643,27.69365903878065,66601332,0.2980467541665419,
2014-01-06,27.751277923583984,27.78952690196279,27.481047613532215,27.644230003298677,70701228,0.3084792884305756,
2014-01-07,28.286277770996094,28.30689303514756,27.84665584318205,27.942031255347263,102001896,0.46023719196551127,
2014-01-08,28.34514045715332,28.496400453558117,28.14793246589555,28.463614802484507,89610300,0.34846798766256626,
2014-01-09,28.07217788696289,28.41940402967519,27.95593923052602,28.400030604761504,83296620,0.46346479914916827,
2014-01-10,28.070688247680664,28.29174103404883,27.873726355107376,28.29174103404883,85654260,0.4180146789414536,
2014-01-13,27.891860961914062,28.4862166155718,27.747554117017994,27.978541614163127,96659244,0.7386624985538042,
2014-01-14,28.548063278198242,28.587803979856808,28.01877914827277,28.2636748568786,99204696,0.5690248315840378,
2014-01-15,28.528690338134766,28.68715338349022,28.40872615732504,28.637229989882513,77929992,0.2784272261651779,
2014-01-16,28.71745491027832,28.75992538343145,28.51329185883674,28.540612289794883,67288644,0.24663352459471,
2014-01-17,28.576126098632812,28.826982976674916,28.418906805886518,28.733097402464463,107943948,0.408076170788398,
2014-01-21,28.90323829650879,28.910689323111157,28.595254958096096,28.834437455340996,79116804,0.3154343650150615,
2014-01-22,28.936023712158203,29.007306335230343,28.783025893028913,28.975514531436065,62793144,0.2242804422014295,0.37949690115963947
2014-01-23,28.813825607299805,28.873185834312117,28.67150644836286,28.8113419316344,77886036,0.20167938594925872,0.3770663675119782
2014-01-24,27.9129695892334,28.65113604078191,27.892354327607485,28.58804841828923,155544300,0.7587817131744252,0.4099760074411127
2014-01-27,27.351646423339844,27.979287493327416,26.88073057566881,27.969352791470705,173969856,1.0985569176586054,0.4664101238145434
2014-01-28,27.892602920532227,27.960657894958352,27.567977852951824,27.577416576247753,88319592,0.3926800420065284,0.4615846131031875
2014-01-29,27.492969512939453,27.86130688408122,27.306690082002678,27.795985467403668,95100804,0.5546168020785416,0.4763095284186143
2014-01-30,28.200092315673828,28.624812207069763,27.997916954504653,28.43878073751053,203452344,0.6268952525651095,0.48798313223403866
2014-01-31,29.332178115844727,29.470521864674147,28.5910300664748,29.093241727096075,222429348,0.8794917981993464,0.5209457836096024
2014-02-03,28.151412963867188,29.35080871428735,28.116143633670404,29.2882189518325,182581236,1.2346650806169457,0.5563745394712554
2014-02-04,28.268890380859375,28.687151160061855,28.24032811389547,28.264666996872332,112363524,0.44682304616638646,0.5476458405128517
2014-02-05,28.39406967163086,28.582088818972945,28.017039421235335,28.398541044512946,95684220,0.5650493977376101,0.5681188527680254
2014-02-06,28.810346603393555,28.815313954469303,28.50211338252559,28.591031617045005,77786136,0.31320057194371387,0.5728736418643828
2014-02-07,29.2445011138916,29.25592564189888,28.825246492135246,29.000847261395066,105342552,0.430679149763634,0.574488140362614
2014-02-10,29.13248634338379,29.36769532513186,29.035371227989234,29.104418161165995,77730192,0.33232409714262445,0.5756945498002971
2014-02-11,29.560930252075195,29.602904745468045,29.114603176071995,29.312309040905912,81949968,0.4883015693960502,0.59455320174277
2014-02-12,29.4742488861084,29.5564600605969,29.34236230796896,29.531623305294122,68911020,0.21409775262794284,0.5954402279341046
2014-02-13,29.802349090576172,29.802349090576172,29.29963957413697,29.326712013828022,73382544,0.5027095164392001,0.5771493567387314
