Date,Close,High,Low,Open,Volume,High_Low,ATR
2021-04-14,328.2799987792969,429.5400085449219,310.0,381.0,81065700,119.54000854492188,
2021-04-15,322.75,349.20001220703125,317.2699890136719,348.8999938964844,39777900,31.930023193359375,
2021-04-16,342.0,345.989990234375,321.0299987792969,327.5,22654500,24.959991455078125,
2021-04-19,333.0,341.010009765625,326.7900085449219,337.260009765625,11405600,14.220001220703125,
2021-04-20,320.82000732421875,334.8299865722656,312.0199890136719,333.42999267578125,18082300,22.80999755859375,
2021-04-21,311.9200134277344,327.4700012207031,302.1000061035156,312.5199890136719,10103900,25.3699951171875,
2021-04-22,293.45001220703125,313.5,287.20001220703125,305.760009765625,14991900,26.29998779296875,
2021-04-23,291.6000061035156,303.0,282.07000732421875,282.75,9853800,20.92999267578125,
2021-04-26,304.5400085449219,306.1000061035156,296.8999938964844,304.2900085449219,6330200,9.20001220703125,
2021-04-27,302.0,306.70001220703125,299.5,306.70001220703125,3902000,7.20001220703125,
2021-04-28,298.04998779296875,302.8999938964844,298.04998779296875,301.010009765625,2746100,4.850006103515625,
2021-04-29,294.7699890136719,300.0,292.1000061035156,298.45001220703125,2845800,7.899993896484375,
2021-04-30,297.6400146484375,302.739990234375,291.0,293.0,3997400,11.739990234375,
2021-05-03,294.2099914550781,305.0299987792969,293.94000244140625,304.0,3333800,11.089996337890625,24.145714896065847
2021-05-04,280.6600036621094,292.19000244140625,275.6099853515625,292.05999755859375,5707700,16.58001708984375,16.791429792131698
2021-05-05,273.0,289.1499938964844,269.0,284.95001220703125,5074600,20.149993896484375,15.949999128069196
2021-05-06,256.760009765625,272.1400146484375,250.50999450683594,271.1499938964844,8342000,21.630020141601562,15.712144034249443
2021-05-07,263.70001220703125,267.07000732421875,258.3800048828125,261.1499938964844,4243700,8.69000244140625,15.317144121442523
2021-05-10,293.45001220703125,297.5,259.3699951171875,266.3999938964844,10268600,38.1300048828125,16.41143035888672
2021-05-11,303.0,303.32000732421875,276.510009765625,281.04998779296875,7456000,26.80999755859375,16.51428767613002
2021-05-12,283.6099853515625,306.9800109863281,280.7900085449219,299.5400085449219,7214200,26.19000244140625,16.506431579589844
2021-05-13,265.1000061035156,285.0,252.25999450683594,276.4599914550781,11226800,32.74000549316406,17.350003923688615
2021-05-14,258.3699951171875,280.6400146484375,256.3500061035156,280.3699951171875,11751800,24.290008544921875,18.427860804966517
2021-05-17,248.24000549316406,250.25,238.25,250.0,8828100,12.0,18.770717075892858
2021-05-18,239.0,252.1699981689453,238.5,238.8300018310547,7852100,13.669998168945312,19.400716509137833
2021-05-19,224.8000030517578,229.0,208.0,212.92999267578125,16766000,21.0,20.33643123081752
2021-05-20,233.39999389648438,238.8000030517578,226.25999450683594,236.10000610351562,10386900,12.540008544921875,20.393575395856583
2021-05-21,224.35000610351562,238.97000122070312,223.89999389648438,235.97000122070312,7554900,15.07000732421875,20.67786189488002
2021-05-24,225.3000030517578,231.0,224.0399932861328,227.27999877929688,10185600,6.9600067138671875,19.990718296595983
2021-05-25,242.41000366210938,243.99000549316406,228.0,230.0,11827800,15.990005493164062,19.69357626778739
