Date,Close,High,Low,Open,Volume
2025-12-12,13.645241737365723,14.326870918273926,13.33537769317627,14.062516212463379,580676373
2025-12-13,13.742837905883789,13.95242977142334,13.618451118469238,13.645215034484863,334111632
2025-12-14,13.29239273071289,13.78232479095459,13.207554817199707,13.742929458618164,382513332
2025-12-15,12.864611625671387,13.71958065032959,12.537033081054688,13.292303085327148,667123756
2025-12-16,12.934125900268555,13.069948196411133,12.645984649658203,12.864611625671387,542879458
2025-12-17,12.24010181427002,13.126523971557617,12.148893356323242,12.934125900268555,637625397
2025-12-18,11.933768272399902,12.829325675964355,11.75934886932373,12.24026107788086,687187945
2025-12-19,12.531227111816406,12.729793548583984,11.855095863342285,11.933768272399902,577250884
2025-12-20,12.551011085510254,12.696409225463867,12.485509872436523,12.531208992004395,255017538
2025-12-21,12.432073593139648,12.684806823730469,12.243268013000488,12.55097770690918,337431219
2025-12-22,12.5781831741333,12.877555847167969,12.376264572143555,12.432073593139648,500351044
2025-12-23,12.38786506652832,12.667014122009277,12.129007339477539,12.578210830688477,438012165
2025-12-24,12.26815128326416,12.410330772399902,12.066637992858887,12.38783073425293,299871493
2025-12-25,12.055989265441895,12.401097297668457,12.0176420211792,12.26815128326416,245990002
2025-12-26,12.177103042602539,12.51515007019043,12.04641342163086,12.055834770202637,318075740
2025-12-27,12.497620582580566,12.497825622558594,12.167431831359863,12.177084922790527,215036321
2025-12-28,12.47721004486084,12.564410209655762,12.326004028320312,12.497554779052734,247125605
2025-12-29,12.290201187133789,12.977884292602539,12.259302139282227,12.477226257324219,460383776
2025-12-30,12.414362907409668,12.561203002929688,12.270892143249512,12.290191650390625,310407593
2025-12-31,12.188008308410645,12.507661819458008,12.187711715698242,12.414362907409668,466939404
2026-01-01,12.586158752441406,12.60582160949707,12.143738746643066,12.188225746154785,424088085
2026-01-02,13.2632417678833,13.405162811279297,12.57580280303955,12.586124420166016,833520947
2026-01-03,13.231463432312012,13.355284690856934,12.993575096130371,13.263481140136719,510726074
2026-01-04,13.398759841918945,13.557690620422363,13.226285934448242,13.231463432312012,583816633
2026-01-05,13.917906761169434,14.114192962646484,13.399941444396973,13.399941444396973,926822463
2026-01-06,14.041692733764648,14.18685245513916,13.499103546142578,13.917684555053711,997947576
2026-01-07,13.428935050964355,14.041777610778809,13.316845893859863,14.041324615478516,762040205
2026-01-08,13.215398788452148,13.529767990112305,13.043404579162598,13.428935050964355,675466736
2026-01-09,13.117958068847656,13.407736778259277,13.061969757080078,13.21545696258545,561561184
2026-01-10,13.12912654876709,13.226133346557617,13.064697265625,13.11807918548584,201046969
2026-01-11,13.174175262451172,13.326699256896973,13.070013999938965,13.128449440002441,235889877
2026-01-12,13.068760871887207,13.488855361938477,12.966285705566406,13.174328804016113,385293417
2026-01-13,14.042167663574219,14.15237808227539,13.054830551147461,13.068946838378906,543318706
2026-01-14,14.114400863647461,14.376190185546875,13.864969253540039,14.042203903198242,595218601
2026-01-15,13.784297943115234,14.189085006713867,13.581501007080078,14.114208221435547,559488733
2026-01-16,13.727490425109863,13.856759071350098,13.457235336303711,13.784555435180664,359299335
2026-01-17,13.735365867614746,13.883112907409668,13.636481285095215,13.727386474609375,221107572
2026-01-18,13.329924583435059,13.862284660339355,13.328983306884766,13.735365867614746,318489778
2026-01-19,12.877442359924316,13.329689025878906,12.73178482055664,13.329689025878906,579914287
2026-01-20,12.113679885864258,12.88645076751709,12.108063697814941,12.877457618713379,440295539
2026-01-21,12.386194229125977,12.637521743774414,11.937912940979004,12.11361026763916,509903013
2026-01-22,12.242456436157227,12.564042091369629,12.12511920928955,12.38618278503418,330622925
2026-01-23,12.208968162536621,12.441727638244629,12.056083679199219,12.242473602294922,281712703
2026-01-24,12.193202018737793,12.260381698608398,12.128175735473633,12.208894729614258,180740178
2026-01-25,11.505537986755371,12.196954727172852,11.380248069763184,12.193097114562988,434691233
2026-01-26,11.942946434020996,12.098298072814941,11.505500793457031,11.505500793457031,358161681
2026-01-27,12.035913467407227,12.155853271484375,11.839158058166504,11.942713737487793,356066800
2026-01-28,11.832648277282715,12.035970687866211,11.700032234191895,12.035880088806152,313537950
2026-01-29,11.09844970703125,11.834918022155762,10.826945304870605,11.832737922668457,507488098
2026-01-30,10.769638061523438,11.1371488571167,10.520034790039062,11.098468780517578,617422643
2026-01-31,9.968608856201172,10.79741096496582,9.328075408935547,10.769654273986816,1240920271
2026-02-01,9.410691261291504,10.059540748596191,9.259587287902832,9.968603134155273,971087849
2026-02-02,9.806777000427246,9.978842735290527,9.037487983703613,9.41073989868164,1200864306
2026-02-03,9.45098876953125,9.848698616027832,9.084962844848633,9.806777000427246,1051602598
2026-02-04,9.251476287841797,9.74454402923584,9.045767784118652,9.45152759552002,1004411207
2026-02-05,7.9071807861328125,9.300849914550781,7.870086193084717,9.251476287841797,1716893944
2026-02-06,8.879450798034668,8.981346130371094,7.319640159606934,7.906778812408447,1616304302
2026-02-07,8.91329288482666,9.023839950561523,8.598418235778809,8.879478454589844,914620386
2026-02-08,8.832435607910156,9.023260116577148,8.743562698364258,8.913302421569824,553095508
2026-02-09,8.829837799072266,8.991809844970703,8.468085289001465,8.831562995910645,663704276
