Date,Close,High,Low,Open,Volume
2025-12-12,4300.10009765625,4355.0,4260.0,4276.39990234375,1531
2025-12-15,4306.7001953125,4349.2001953125,4292.89990234375,4308.2998046875,854
2025-12-16,4304.5,4321.39990234375,4270.5,4270.5,1796
2025-12-17,4347.5,4351.39990234375,4308.5,4308.5,2169
2025-12-18,4339.5,4348.10009765625,4328.2001953125,4331.0,705
2025-12-19,4361.39990234375,4361.39990234375,4350.10009765625,4350.10009765625,1065
2025-12-22,4444.60009765625,4447.60009765625,4371.10009765625,4371.10009765625,449
2025-12-23,4482.7998046875,4503.7998046875,4450.39990234375,4503.2998046875,694
2025-12-24,4480.60009765625,4503.39990234375,4468.39990234375,4500.7001953125,500
2025-12-26,4529.10009765625,4556.2998046875,4502.0,4512.0,263
2025-12-29,4325.10009765625,4379.0,4325.10009765625,4371.5,2044
2025-12-30,4370.10009765625,4403.60009765625,4338.0,4346.39990234375,1837
2025-12-31,4325.60009765625,4363.7998046875,4285.0,4333.5,785
2026-01-02,4314.39990234375,4350.60009765625,4314.39990234375,4350.60009765625,589
2026-01-05,4436.89990234375,4443.5,4384.7998046875,4386.7001953125,618
2026-01-06,4482.2001953125,4482.2001953125,4449.0,4449.7001953125,459
2026-01-07,4449.2998046875,4450.0,4449.2998046875,4450.0,972
2026-01-08,4449.7001953125,4461.2998046875,4418.0,4460.2001953125,2423
2026-01-09,4490.2998046875,4490.2998046875,4473.0,4473.0,237
2026-01-12,4604.2998046875,4620.0,4577.7998046875,4579.10009765625,156
2026-01-13,4589.2001953125,4617.10009765625,4578.60009765625,4578.60009765625,239
2026-01-14,4626.2998046875,4635.0,4608.2001953125,4610.2998046875,1313
2026-01-15,4616.2998046875,4616.2998046875,4612.89990234375,4612.89990234375,4358
2026-01-16,4588.39990234375,4608.0,4588.39990234375,4608.0,352
2026-01-20,4759.60009765625,4764.0,4661.7998046875,4662.2001953125,175
2026-01-21,4831.7998046875,4872.2998046875,4771.5,4863.5,1706
2026-01-22,4908.7998046875,4908.7998046875,4791.89990234375,4791.89990234375,1175
2026-01-23,4976.2001953125,4976.2001953125,4936.0,4949.60009765625,169
2026-01-26,5079.7001953125,5095.60009765625,5052.2001953125,5081.5,180
2026-01-27,5079.89990234375,5079.89990234375,5079.89990234375,5079.89990234375,34
2026-01-28,5301.60009765625,5301.60009765625,5301.60009765625,5301.60009765625,112054
2026-01-29,5318.39990234375,5586.2001953125,5097.5,5415.7001953125,23709
2026-01-30,4713.89990234375,5440.5,4700.0,5376.39990234375,8374
2026-02-02,4622.5,4855.7998046875,4400.0,4807.7001953125,3588
2026-02-03,4903.7001953125,4984.60009765625,4674.2998046875,4680.0,1213
2026-02-04,4920.39990234375,5082.2001953125,4897.89990234375,4923.2998046875,3886
2026-02-05,4861.39990234375,5012.2998046875,4786.0,5008.7001953125,793
2026-02-06,4951.2001953125,4958.5,4655.0,4762.0,1386
2026-02-09,5050.89990234375,5065.7001953125,4979.10009765625,5017.39990234375,1386
